Stretch,Stress_P11
1,0
1.125,0.203573233
1.25,0.33566831
1.375,0.434658576
1.5,0.518063749
1.375,0.420271504
1.25,0.315600164
1.125,0.187594664
1,0
1.166666667,0.234460862
1.333333333,0.386729579
1.5,0.518063749
1.666666667,0.619455704
1.833333333,0.718754746
2,0.821393215
1.833333333,0.669417206
1.666666667,0.540945764
1.5,0.427893344
1.333333333,0.318927304
1.166666667,0.193382974
1,0
1.1875,0.211203413
1.375,0.346648987
1.5625,0.469091637
1.75,0.602703283
1.9375,0.761206869
2.125,0.902621267
2.3125,1.033853427
2.5,1.179087967
2.3125,0.925131468
2.125,0.729752537
1.9375,0.579613573
1.75,0.461501926
1.5625,0.363262524
1.375,0.272021901
1.1875,0.167672426
1,0
1.2,0.175732273
1.4,0.284360286
1.6,0.381897363
1.8,0.490565895
2,0.625472827
2.2,0.801704676
2.4,1.03561714
2.6,1.263274072
2.8,1.447820041
3,1.65692982
2.8,1.236151545
2.6,0.936277962
2.4,0.727518533
2.2,0.579990912
2,0.471015588
1.8,0.385075048
1.6,0.311114784
1.4,0.238680024
1.2,0.150618698
1,0
1.208333333,0.155012654
1.416666667,0.24498354
1.625,0.320040025
1.833333333,0.398299675
2.041666667,0.491391436
2.25,0.612510005
2.458333333,0.780866111
2.666666667,1.024508965
2.875,1.378523477
3.083333333,1.752194622
3.291666667,2.01372408
3.5,2.312337444
3.291666667,1.626690098
3.083333333,1.1806702
2.875,0.904048435
2.666666667,0.726619148
2.458333333,0.603008435
2.25,0.508678943
2.041666667,0.431006592
1.833333333,0.362939837
1.625,0.299170537
1.416666667,0.232820434
1.208333333,0.148779565
1,0
1.214285714,0.151708248
1.428571429,0.236873229
1.642857143,0.304612591
1.857142857,0.370401723
2.071428571,0.441383212
2.285714286,0.523413832
2.5,0.624825892
2.714285714,0.761191304
2.928571429,0.963294601
3.142857143,1.287298919
3.357142857,1.814203544
3.571428571,2.424119192
3.785714286,2.791055568
4,3.209777123
3.785714286,2.118322679
3.571428571,1.487074306
3.357142857,1.146180929
3.142857143,0.942770758
2.928571429,0.799806819
2.714285714,0.686424594
2.5,0.590775975
2.285714286,0.507626069
2.071428571,0.433826537
1.857142857,0.366642678
1.642857143,0.302672515
1.428571429,0.235856114
1.214285714,0.151224082
1,0
1.21875,0.153382143
1.4375,0.238836298
1.65625,0.306667262
1.875,0.372062171
2.09375,0.441156921
2.3125,0.517452268
2.53125,0.603856469
2.75,0.70389053
2.96875,0.823801976
3.1875,0.97852989
3.40625,1.207949046
3.625,1.610072898
3.84375,2.364282967
4.0625,3.342494383
4.28125,3.847755126
4.5,4.421373352
4.28125,2.737383707
4.0625,1.895257666
3.84375,1.500928749
3.625,1.266452716
3.40625,1.088771913
3.1875,0.939789731
2.96875,0.811354895
2.75,0.699789729
2.53125,0.602437533
2.3125,0.516929168
2.09375,0.44094997
1.875,0.371974184
1.65625,0.306627285
1.4375,0.238817328
1.21875,0.153373719
1,0
1.222222222,0.155035269
1.444444444,0.241116957
1.666666667,0.309727993
1.888888889,0.376202402
2.111111111,0.446688141
2.333333333,0.524625398
2.555555556,0.612627387
2.777777778,0.713117688
3,0.828601283
3.222222222,0.961941388
3.444444444,1.117347071
3.666666667,1.305164231
3.888888889,1.563237986
4.111111111,2.028844492
4.333333333,3.052689351
4.555555556,4.578732608
4.777777778,5.258777412
5,6.025219297
4.777777778,3.521396259
4.555555556,2.45798972
4.333333333,2.012730025
4.111111111,1.727493052
3.888888889,1.493260109
3.666666667,1.290628275
3.444444444,1.114411619
3.222222222,0.961330368
3,0.828465058
2.777777778,0.713084396
2.555555556,0.612618358
2.333333333,0.524622669
2.111111111,0.446687222
1.888888889,0.376202059
1.666666667,0.309727852
1.444444444,0.241116895
1.222222222,0.155035244
1,0
1.225,0.156354116
1.45,0.242945863
1.675,0.312205962
1.9,0.379596379
2.125,0.451310634
2.35,0.53084308
2.575,0.620876546
2.8,0.723910056
3.025,0.84249046
3.25,0.979302066
3.475,1.137201216
3.7,1.31924974
3.925,1.528965866
4.15,1.772611813
4.375,2.077289445
4.6,2.596180066
4.825,3.912454483
5.05,6.21032602
5.275,7.104356586
5.5,8.104238126
5.275,4.521367676
5.05,3.228557434
4.825,2.717367024
4.6,2.354771506
4.375,2.042460373
4.15,1.768410283
3.925,1.52848667
3.7,1.319193331
3.475,1.137193951
3.25,0.979301006
3.025,0.842490281
2.8,0.723910021
2.575,0.620876538
2.35,0.530843078
2.125,0.451310633
1.9,0.379596379
1.675,0.312205962
1.45,0.242945863
1.225,0.156354116
1,0
1.227272727,0.157426456
1.454545455,0.244435455
1.681818182,0.314232208
1.909090909,0.382381709
2.136363636,0.455115713
2.363636364,0.535975364
2.590909091,0.62770535
2.818181818,0.732879975
3.045454545,0.854132689
3.272727273,0.994243537
3.5,1.156168724
3.727272727,1.343043472
3.954545455,1.558171419
4.181818182,1.805009634
4.409090909,2.087195154
4.636363636,2.409308711
4.863636364,2.788220976
5.090909091,3.369092372
5.318181818,4.990809126
5.545454545,8.319822784
5.772727273,9.470172594
6,10.74822745
5.772727273,5.798641084
