Stretch,Stress_P11
1,0
1.1875,0.275440757
1.375,0.434658576
1.5625,0.556831627
1.75,0.668956476
1.5625,0.521927322
1.375,0.385774118
1.1875,0.234829481
1,0
1.214285714,0.259036791
1.428571429,0.424676579
1.642857143,0.582679214
1.857142857,0.733120142
2.071428571,0.86727347
2.285714286,1.014317559
2.5,1.179087967
2.285714286,0.893929542
2.071428571,0.682837788
1.857142857,0.525799532
1.642857143,0.403697979
1.428571429,0.298292275
1.214285714,0.184668521
1,0
1.225,0.191194643
1.45,0.308667836
1.675,0.420488315
1.9,0.553830404
2.125,0.729752537
2.35,0.97083996
2.575,1.241753077
2.8,1.447820041
3.025,1.684980561
3.25,1.958602011
3.025,1.37632024
2.8,0.995658276
2.575,0.754750214
2.35,0.596485938
2.125,0.483984292
1.9,0.396297867
1.675,0.320991265
1.45,0.247616569
1.225,0.15860535
1,0
1.230769231,0.161368333
1.461538462,0.251543009
1.692307692,0.326570541
1.923076923,0.404548643
2.153846154,0.496693295
2.384615385,0.617154919
2.615384615,0.79051285
2.846153846,1.060169046
3.076923077,1.491021006
3.307692308,2.035317572
3.538461538,2.371902692
3.769230769,2.761064194
4,3.209777123
3.769230769,2.054994304
3.538461538,1.420468375
3.307692308,1.090919575
3.076923077,0.894366581
2.846153846,0.753580245
2.615384615,0.640472336
2.384615385,0.544672822
2.153846154,0.461275945
1.923076923,0.386787769
1.692307692,0.317393281
1.461538462,0.246736212
1.230769231,0.159073474
1,0
1.234375,0.160748412
1.46875,0.249074002
1.703125,0.320606523
1.9375,0.391248213
2.171875,0.467427095
2.40625,0.553068341
2.640625,0.651883402
2.875,0.769338756
3.109375,0.917594259
3.34375,1.130582245
3.578125,1.501407362
3.8125,2.227319657
4.046875,3.308847499
4.28125,3.847755126
4.515625,4.465136864
4.75,5.169196303
4.515625,3.018669356
4.28125,2.083631202
4.046875,1.679790682
3.8125,1.42383437
3.578125,1.217939859
3.34375,1.042434817
3.109375,0.891521402
2.875,0.76158255
2.640625,0.64947437
2.40625,0.552268899
2.171875,0.467140093
1.9375,0.391136265
1.703125,0.320559258
1.46875,0.249052847
1.234375,0.160739369
1,0
1.236842105,0.16187696
1.473684211,0.250644146
1.710526316,0.322756159
1.947368421,0.394196206
2.184210526,0.471365716
2.421052632,0.558021341
2.657894737,0.657191543
2.894736842,0.771795152
3.131578947,0.904867458
3.368421053,1.059680141
3.605263158,1.240061954
3.842105263,1.45262463
4.078947368,1.722058133
4.315789474,2.172764343
4.552631579,3.263358608
4.789473684,5.296898748
5.026315789,6.122046771
5.263157895,7.054734542
5.5,8.104238126
5.263157895,4.409234448
5.026315789,3.157574753
4.789473684,2.655220825
4.552631579,2.285544474
4.315789474,1.966826746
4.078947368,1.68912773
3.842105263,1.447995085
3.605263158,1.239422911
3.368421053,1.059586748
3.131578947,0.904852308
2.894736842,0.77179235
2.657894737,0.657190945
2.421052632,0.558021193
2.184210526,0.471365674
1.947368421,0.394196192
1.710526316,0.322756154
1.473684211,0.250644144
1.236842105,0.161876959
1,0
1.238636364,0.162700115
1.477272727,0.251797568
1.715909091,0.324353857
1.954545455,0.39642803
2.193181818,0.474455074
2.431818182,0.562235456
2.670454545,0.662854825
2.909090909,0.77929978
3.147727273,0.914676261
3.386363636,1.072287503
3.625,1.255654822
3.863636364,1.468511897
4.102272727,1.714786764
4.340909091,1.998597606
4.579545455,2.324633743
4.818181818,2.705238914
5.056818182,3.250280423
5.295454545,4.731491576
5.534090909,8.265485916
5.772727273,9.470172594
6.011363636,10.81566348
6.25,12.31403616
6.011363636,6.424081481
5.772727273,4.798788394
5.534090909,4.13480674
5.295454545,3.595425834
5.056818182,3.117971096
4.818181818,2.695745263
4.579545455,2.324103305
4.340909091,1.998569936
4.102272727,1.714785233
3.863636364,1.468511799
3.625,1.255654814
3.386363636,1.072287502
3.147727273,0.914676261
2.909090909,0.77929978
2.670454545,0.662854825
2.431818182,0.562235456
2.193181818,0.474455074
1.954545455,0.39642803
1.715909091,0.324353857
1.477272727,0.251797568
1.238636364,0.162700115
1,0
1.24,0.163323385
1.48,0.252672038
1.72,0.325568156
1.96,0.398127929
2.2,0.476812273
2.44,0.565455763
2.68,0.667188648
2.92,0.785051158
3.16,0.922210446
3.4,1.082037307
3.64,1.268125787
3.88,1.484286261
4.12,1.73452522
4.36,2.023019232
4.6,2.354088954
4.84,2.732179208
5.08,3.161853396
5.32,3.647871345
5.56,4.197965345
5.8,4.899246219
6.04,6.828250497
6.28,12.51389401
6.52,14.21133429
6.76,16.09687961
7,18.19215809
