Stretch,Stress_P11
1,0
1.090909091,0.087061508
1.181818182,0.16066304
1.272727273,0.224472936
1.363636364,0.280954434
1.454545455,0.331811106
1.545454545,0.378251848
1.636363636,0.421154415
1.727272727,0.461169607
1.818181818,0.498789532
1.909090909,0.534393447
2,0.568279251
2.090909091,0.600685544
2.181818182,0.631807376
2.272727273,0.661807679
2.363636364,0.690825698
2.454545455,0.718983301
2.545454545,0.746389768
2.636363636,0.773145479
2.727272727,0.799344787
2.818181818,0.825078283
2.909090909,0.850434618
3,0.875501964
3.090909091,0.900369225
3.181818182,0.925127031
3.272727273,0.949868584
3.363636364,0.97469037
3.454545455,0.999692775
3.545454545,1.024980626
3.636363636,1.05066366
3.727272727,1.076856955
3.818181818,1.103681302
3.909090909,1.131263565
4,1.159736992
4.090909091,1.189241518
4.181818182,1.219924047
4.272727273,1.25193871
4.363636364,1.285447119
4.454545455,1.320618609
4.545454545,1.357630465
4.636363636,1.396668148
4.727272727,1.437925512
4.818181818,1.481605011
4.909090909,1.52791791
5,1.577084486
5.090909091,1.629334226
5.181818182,1.684906021
5.272727273,1.744048363
5.363636364,1.807019536
5.454545455,1.874087802
5.545454545,1.945531588
5.636363636,2.021639677
5.727272727,2.102711387
5.818181818,2.189056759
5.909090909,2.280996736
6,2.378863346
6.090909091,2.482999885
6.181818182,2.593761093
6.272727273,2.711513338
6.363636364,2.836634791
6.454545455,2.96951561
6.545454545,3.11055811
6.636363636,3.260176952
6.727272727,3.418799308
6.818181818,3.58686505
6.909090909,3.764826919
7,3.953150704
7.090909091,4.15231542
7.181818182,4.362813482
7.272727273,4.585150885
7.363636364,4.819847374
7.454545455,5.067436624
7.545454545,5.328466418
7.636363636,5.603498815
7.727272727,5.893110333
7.818181818,6.197892121
7.909090909,6.518450134
8,6.855405311
8.090909091,7.209393745
8.181818182,7.581066865
8.272727273,7.971091606
8.363636364,8.380150585
8.454545455,8.808942276
8.545454545,9.258181188
8.636363636,9.728598034
8.727272727,10.22093991
8.818181818,10.73597047
8.909090909,11.2744701
9,11.8372361
9.090909091,12.42508282
9.181818182,13.03884191
9.272727273,13.67936242
9.363636364,14.34751102
9.454545455,15.04417214
9.545454545,15.77024819
9.636363636,16.5266597
9.727272727,17.31434548
9.818181818,18.13426287
9.909090909,18.9873878
10,19.87471508
