Stretch,Stress_P11
1,0
1.125,0.08107864
1.25,0.152133551
1.375,0.216054419
1.5,0.274629019
1.375,0.213165983
1.25,0.148489127
1.125,0.078555108
1,0
1.166666667,0.10262114
1.333333333,0.192046233
1.5,0.274629019
1.666666667,0.346376629
1.833333333,0.412478061
2,0.474120189
1.833333333,0.401013697
1.666666667,0.328241047
1.5,0.25450971
1.333333333,0.177843207
1.166666667,0.094988749
1,0
1.1875,0.105847955
1.375,0.197432297
1.5625,0.28237718
1.75,0.364654541
1.9375,0.446603133
2.125,0.517937006
2.3125,0.580441024
2.5,0.639763346
2.3125,0.557582638
2.125,0.478941064
1.9375,0.403001583
1.75,0.328642689
1.5625,0.254321228
1.375,0.177771709
1.1875,0.095305823
1,0
1.2,0.101098907
1.4,0.188218343
1.6,0.269277033
1.8,0.348394762
2,0.428076821
2.2,0.510021112
2.4,0.595450981
2.6,0.670340379
2.8,0.729767632
3,0.787567153
2.8,0.693929796
2.6,0.607067035
2.4,0.52611214
2.2,0.450043278
2,0.37766913
1.8,0.307580407
1.6,0.238025073
1.4,0.166613442
1.2,0.089605546
1,0
1.208333333,0.09299904
1.416666667,0.172712969
1.625,0.246763206
1.833333333,0.319171831
2.041666667,0.392507855
2.25,0.468664403
2.458333333,0.549170805
2.666666667,0.635318909
2.875,0.728208229
3.083333333,0.811370128
3.291666667,0.87071963
3.5,0.9307378
3.291666667,0.820395869
3.083333333,0.721169321
2.875,0.631724188
2.666666667,0.550640839
2.458333333,0.476443551
2.25,0.407618602
2.041666667,0.342609475
1.833333333,0.279770281
1.625,0.217240342
1.416666667,0.152653491
1.208333333,0.082446252
1,0
1.214285714,0.084578548
1.428571429,0.156453024
1.642857143,0.222641794
1.857142857,0.286898321
2.071428571,0.35172375
2.285714286,0.419102267
2.5,0.490804288
2.714285714,0.568513116
2.928571429,0.653867726
3.142857143,0.748461436
3.357142857,0.85381699
3.571428571,0.951686799
3.785714286,1.016416439
4,1.085221463
3.785714286,0.949040264
3.571428571,0.830674546
3.357142857,0.727761437
3.142857143,0.637927826
2.928571429,0.558873493
2.714285714,0.488423835
2.5,0.424555897
2.285714286,0.365398302
2.071428571,0.309200828
1.857142857,0.254261174
1.642857143,0.198778188
1.428571429,0.140553601
1.214285714,0.076323299
1,0
1.21875,0.077755461
1.4375,0.143071025
1.65625,0.20230001
1.875,0.258833885
2.09375,0.314966676
2.3125,0.372596092
2.53125,0.433533638
2.75,0.499655694
2.96875,0.572977167
3.1875,0.655679451
3.40625,0.750105251
3.625,0.85872404
3.84375,0.984066626
4.0625,1.106307868
4.28125,1.184723198
4.5,1.27202585
4.28125,1.095189942
4.0625,0.946910725
3.84375,0.82295485
3.625,0.719159948
3.40625,0.631658469
3.1875,0.55698737
2.96875,0.492121882
2.75,0.434462386
2.53125,0.381792425
2.3125,0.332216312
2.09375,0.284076276
1.875,0.235838913
1.65625,0.185921917
1.4375,0.132386445
1.21875,0.072286893
1,0
1.222222222,0.07331524
1.444444444,0.134167014
1.666666667,0.188363181
1.888888889,0.238933902
2.111111111,0.287880571
2.333333333,0.33685125
2.555555556,0.387459587
2.777777778,0.441464929
3,0.500890958
3.222222222,0.568112424
3.444444444,0.645919869
3.666666667,0.737561092
3.888888889,0.846748416
4.111111111,0.977609633
4.333333333,1.134548018
4.555555556,1.29590183
4.777777778,1.399594802
5,1.518650757
4.777777778,1.2781335
4.555555556,1.08353494
4.333333333,0.927375777
4.111111111,0.80227987
3.888888889,0.701587662
3.666666667,0.619600258
3.444444444,0.551601962
3.222222222,0.493771813
3,0.443051952
2.777777778,0.397008157
2.555555556,0.353696982
2.333333333,0.3115414
2.111111111,0.269208424
1.888888889,0.225473003
1.666666667,0.179035253
1.444444444,0.128214492
1.222222222,0.070314495
1,0
1.225,0.071099166
1.45,0.129556688
1.675,0.180843289
1.9,0.227712272
2.125,0.27188269
2.35,0.314693669
2.575,0.357419802
2.8,0.401460773
3.025,0.448484195
3.25,0.500555586
3.475,0.560271497
3.7,0.630902017
3.925,0.716539239
4.15,0.822233492
4.375,0.954074436
4.6,1.119136191
4.825,1.325157913
5.05,1.547883822
5.275,1.692175442
5.5,1.860210049
5.275,1.521066518
5.05,1.256175179
4.825,1.052380702
4.6,0.89644396
4.375,0.7767269
4.15,0.683744395
3.925,0.61009909
3.7,0.550162843
3.475,0.499705022
3.25,0.455556214
3.025,0.415334319
2.8,0.377231336
2.575,0.339848272
2.35,0.302062271
2.125,0.2629084
1.9,0.22145383
1.675,0.176627574
