Stretch,Stress_P11
1,0
1.1875,0.117644496
1.375,0.216054419
1.5625,0.302293141
1.75,0.380048271
1.5625,0.294500526
1.375,0.206001749
1.1875,0.110470662
1,0
1.214285714,0.124783738
1.428571429,0.23178051
1.642857143,0.331360525
1.857142857,0.421534704
2.071428571,0.499388631
2.285714286,0.571723527
2.5,0.639763346
2.285714286,0.546148389
2.071428571,0.457011267
1.857142857,0.371018022
1.642857143,0.286292043
1.428571429,0.200047189
1.214285714,0.107656403
1,0
1.225,0.112532458
1.45,0.208850076
1.675,0.299015474
1.9,0.388045427
2.125,0.478941064
2.35,0.57371299
2.575,0.662757091
2.8,0.729767632
3.025,0.794719359
3.25,0.858833216
3.025,0.748091606
2.8,0.647797183
2.575,0.556539472
2.35,0.472737308
2.125,0.394650415
1.9,0.320351145
1.675,0.247603898
1.45,0.173535987
1.225,0.093780318
1,0
1.230769231,0.095950574
1.461538462,0.177425552
1.692307692,0.253204188
1.923076923,0.32785885
2.153846154,0.40440712
2.384615385,0.485212503
2.615384615,0.57232219
2.846153846,0.667584835
3.076923077,0.772672501
3.307692308,0.875297827
3.538461538,0.941987034
3.769230769,1.011313842
4,1.085221463
3.769230769,0.93933238
3.538461538,0.813895751
3.307692308,0.705955106
3.076923077,0.612559095
2.846153846,0.530873128
2.615384615,0.458245112
2.384615385,0.392230239
2.153846154,0.330573221
1.923076923,0.271135721
1.692307692,0.211734781
1.461538462,0.149800844
1.230769231,0.081587003
1,0
1.234375,0.08272971
1.46875,0.151806762
1.703125,0.214553057
1.9375,0.274825881
2.171875,0.335282868
2.40625,0.398200268
2.640625,0.465824425
2.875,0.540536098
3.109375,0.62492195
3.34375,0.721788019
3.578125,0.834127148
3.8125,0.96504101
4.046875,1.100987131
4.28125,1.184723198
4.515625,1.278665265
4.75,1.385856643
4.515625,1.16913503
4.28125,0.99287838
4.046875,0.850323006
3.8125,0.734901804
3.578125,0.64069743
3.34375,0.562618192
3.109375,0.496409147
2.875,0.43857861
2.640625,0.38628705
2.40625,0.337220343
2.171875,0.289451847
1.9375,0.241282476
1.703125,0.191025249
1.46875,0.136647823
1.234375,0.075028348
1,0
1.236842105,0.075731407
1.473684211,0.137853113
1.710526316,0.192662927
1.947368421,0.243340418
2.184210526,0.291961612
2.421052632,0.340262211
2.657894737,0.390004424
2.894736842,0.443199272
3.131578947,0.502272908
3.368421053,0.570210868
3.605263158,0.650690565
3.842105263,0.74819569
4.078947368,0.86808658
4.315789474,1.016572367
4.552631579,1.20049396
4.789473684,1.40545063
5.026315789,1.533916636
5.263157895,1.684024305
5.5,1.860210049
5.263157895,1.50538169
5.026315789,1.232083239
4.789473684,1.024899917
4.552631579,0.868581614
4.315789474,0.750002727
4.078947368,0.658697434
3.842105263,0.586673416
3.605263158,0.527966016
3.368421053,0.478167511
3.131578947,0.434023224
2.894736842,0.393113828
2.657894737,0.353612879
2.421052632,0.31409864
2.184210526,0.273396211
1.947368421,0.230421448
1.710526316,0.183982876
1.473684211,0.132450718
1.236842105,0.073052314
1,0
1.238636364,0.073543096
1.477272727,0.133280877
1.715909091,0.185087319
1.954545455,0.231767945
2.193181818,0.274972507
2.431818182,0.315912221
2.670454545,0.355696753
2.909090909,0.395537023
3.147727273,0.436906651
3.386363636,0.481707056
3.625,0.532465852
3.863636364,0.592593662
4.102272727,0.666721012
4.340909091,0.76112523
4.579545455,0.884222287
4.818181818,1.047015905
5.056818182,1.263235501
5.295454545,1.548645693
5.534090909,1.887999168
5.772727273,2.101788782
6.011363636,2.353352785
6.25,2.648787166
6.011363636,2.032786963
5.772727273,1.585513601
5.534090909,1.270502885
5.295454545,1.050125093
5.056818182,0.89410334
4.818181818,0.780837194
4.579545455,0.69581211
4.340909091,0.629497814
4.102272727,0.575623191
3.863636364,0.529979047
3.625,0.489651203
3.386363636,0.452547565
3.147727273,0.417109272
2.909090909,0.382130922
2.670454545,0.346641805
2.431818182,0.309816826
2.193181818,0.270893684
1.954545455,0.22907175
1.715909091,0.183353187
1.477272727,0.132238775
1.238636364,0.073038853
1,0
1.24,0.073408507
1.48,0.132861696
1.72,0.184176994
1.96,0.230066769
2.2,0.272041924
2.44,0.311109809
2.68,0.348081846
2.92,0.383734358
3.16,0.418911435
3.4,0.454610011
3.64,0.492072462
3.88,0.53291135
4.12,0.579299628
4.36,0.634277743
4.6,0.702257921
4.84,0.789842616
5.08,0.907099302
5.32,1.069382238
5.56,1.29949973
5.8,1.629188924
6.04,2.097195225
6.28,2.68935853
6.52,3.044328746
6.76,3.45868021
7,3.940424948
