Stretch,Stress_P11
1,0
1.083333333,0.080382524
1.166666667,0.149157149
1.25,0.209288123
1.333333333,0.262824201
1.416666667,0.311217895
1.5,0.355522287
1.416666667,0.308788946
1.333333333,0.259006764
1.25,0.205091392
1.166666667,0.145539673
1.083333333,0.078216121
1,0
1.111111111,0.101687997
1.222222222,0.185956894
1.333333333,0.259006764
1.444444444,0.324661137
1.555555556,0.38317996
1.666666667,0.434786581
1.777777778,0.482338817
1.888888889,0.526639376
2,0.568279251
1.888888889,0.517750098
1.777777778,0.46670651
1.666666667,0.414575046
1.555555556,0.360573998
1.444444444,0.30361291
1.333333333,0.242126826
1.222222222,0.173792499
1.111111111,0.095020811
1,0
1.125,0.105607492
1.25,0.191685981
1.375,0.265840866
1.5,0.332547578
1.625,0.394594238
1.75,0.453802001
1.875,0.511407942
2,0.568279251
2.125,0.6124974
2.25,0.654404792
2.375,0.694390108
2.5,0.732773981
2.375,0.677483525
2.25,0.623466438
2.125,0.570434377
2,0.518020332
1.875,0.465751504
1.75,0.413006961
1.625,0.358949456
1.5,0.302412287
1.375,0.241704982
1.25,0.174265547
1.125,0.096005866
1,0
1.133333333,0.101677115
1.266666667,0.183772202
1.4,0.25428648
1.533333333,0.317814826
1.666666667,0.377178077
1.8,0.434209557
1.933333333,0.490160947
2.066666667,0.545923484
2.2,0.602153962
2.333333333,0.659349191
2.466666667,0.717891542
2.6,0.762515141
2.733333333,0.801073857
2.866666667,0.838642993
3,0.875501964
2.866666667,0.812995578
2.733333333,0.753272514
2.6,0.696087227
2.466666667,0.641160089
2.333333333,0.588170343
2.2,0.536746017
2.066666667,0.48644846
1.933333333,0.436747772
1.8,0.386982865
1.666666667,0.336295274
1.533333333,0.283516692
1.4,0.226971551
1.266666667,0.164115376
1.133333333,0.090835215
1,0
1.138888889,0.094174744
1.277777778,0.16968035
1.416666667,0.23432138
1.555555556,0.292521202
1.694444444,0.34698292
1.833333333,0.399472845
1.972222222,0.451217999
2.111111111,0.503119594
2.25,0.555872852
2.388888889,0.610036503
2.527777778,0.666074124
2.666666667,0.724379255
2.805555556,0.785291102
2.944444444,0.849104879
3.083333333,0.898302399
3.222222222,0.936119632
3.361111111,0.973998911
3.5,1.012294281
3.361111111,0.938849853
3.222222222,0.87010695
3.083333333,0.805696874
2.944444444,0.745239553
2.805555556,0.688342585
2.666666667,0.634599692
2.527777778,0.583588026
2.388888889,0.534863426
2.25,0.487952265
2.111111111,0.442337713
1.972222222,0.397436937
1.833333333,0.35256335
1.694444444,0.306863499
1.555555556,0.259209217
1.416666667,0.208007043
1.277777778,0.150845784
1.138888889,0.083805605
1,0
1.142857143,0.085910708
1.285714286,0.154331228
1.428571429,0.212587503
1.571428571,0.264799517
1.714285714,0.313481492
1.857142857,0.360288245
2,0.406391041
2.142857143,0.452678598
2.285714286,0.499869681
2.428571429,0.548578319
2.571428571,0.599352361
2.714285714,0.652696436
2.857142857,0.709085548
3,0.768972974
3.142857143,0.83279475
3.285714286,0.900972176
3.428571429,0.973913262
3.571428571,1.032273382
3.714285714,1.073079301
3.857142857,1.115401846
4,1.159736992
3.857142857,1.069169451
3.714285714,0.986261925
3.571428571,0.910346804
3.428571429,0.840763203
3.285714286,0.77686338
3.142857143,0.718016825
3,0.663612424
2.857142857,0.613058942
2.714285714,0.565783823
2.571428571,0.521230023
2.428571429,0.47885025
2.285714286,0.438097494
2.142857143,0.398409979
2,0.359187422
1.857142857,0.3197532
1.714285714,0.279292679
1.571428571,0.236749423
1.428571429,0.190642994
1.285714286,0.138732143
1.142857143,0.077351556
1,0
1.145833333,0.078763441
1.291666667,0.141051865
1.4375,0.193666147
1.583333333,0.240406562
1.729166667,0.283583703
1.875,0.324720108
2.020833333,0.364903306
2.166666667,0.404975368
2.3125,0.445640203
2.458333333,0.487526928
2.604166667,0.53122853
2.75,0.577325941
2.895833333,0.626403166
3.041666667,0.679056656
3.1875,0.735900864
3.333333333,0.797571096
3.479166667,0.864724258
3.625,0.938037734
3.770833333,1.018206295
3.916666667,1.105936676
4.0625,1.179901856
4.208333333,1.229117006
4.354166667,1.281882035
4.5,1.338883094
4.354166667,1.221158056
4.208333333,1.115861778
4.0625,1.021790941
3.916666667,0.937756889
3.770833333,0.862613984
3.625,0.795277542
3.479166667,0.734733699
3.333333333,0.680043388
3.1875,0.630342166
3.041666667,0.584837131
2.895833333,0.542801744
2.75,0.503568907
2.604166667,0.466522263
2.458333333,0.431085305
2.3125,0.39670731
2.166666667,0.36284445
2.020833333,0.32893314
1.875,0.294350524
1.729166667,0.258352849
1.583333333,0.219974196
1.4375,0.177850767
1.291666667,0.129897281
1.145833333,0.072669214
1,0
1.148148148,0.073676584
1.296296296,0.131538891
1.444444444,0.179968449
1.592592593,0.222505114
1.740740741,0.261282178
1.888888889,0.297692109
2.037037037,0.332722054
2.185185185,0.367135065
2.333333333,0.401574161
2.481481481,0.436625506
2.62962963,0.472858889
2.777777778,0.510855046
2.925925926,0.551225073
3.074074074,0.594624918
3.222222222,0.641766642
3.37037037,0.693427393
3.518518519,0.750456477
3.666666667,0.813780452
3.814814815,0.884405734
3.962962963,0.963417687
4.111111111,1.051974652
4.259259259,1.151294821
4.407407407,1.262633432
4.555555556,1.361864472
4.703703704,1.427004893
4.851851852,1.498439353
5,1.577084486
4.851851852,1.416514493
4.703703704,1.276103299
4.555555556,1.153755023
4.407407407,1.04735406
4.259259259,0.954859988
4.111111111,0.874366272
3.962962963,0.804131168
3.814814815,0.742588897
3.666666667,0.688347832
3.518518519,0.640180823
3.37037037,0.597011243
3.222222222,0.557897109
3.074074074,0.522014654
2.925925926,0.488642011
2.777777778,0.457143146
2.62962963,0.426951771
2.481481481,0.397554574
2.333333333,0.368472636
2.185185185,0.339239223
2.037037037,0.309370965
1.888888889,0.278327318
1.740740741,0.245449156
1.592592593,0.209859304
1.444444444,0.170290824
1.296296296,0.124770974
1.148148148,0.069997236
1,0
1.15,0.070759321
1.3,0.126004083
1.45,0.17186672
1.6,0.211720592
1.75,0.247572883
1.9,0.280710039
2.05,0.312022935
2.2,0.342182867
2.35,0.371743252
2.5,0.401202378
2.65,0.4310449
2.8,0.461771467
2.95,0.49392172
3.1,0.528093694
3.25,0.564961497
3.4,0.605292387
3.55,0.649963904
3.7,0.699981287
3.85,0.756494904
4,0.820816853
4.15,0.894435002
4.3,0.97902164
4.45,1.076432416
4.6,1.188689548
4.75,1.317941476
4.9,1.466389933
5.05,1.605425248
5.2,1.696440722
5.35,1.79731934
5.5,1.909244951
5.35,1.681841715
5.2,1.487228054
5.05,1.321842586
4.9,1.181922391
4.75,1.06379874
4.6,0.96407506
4.45,0.879715049
4.3,0.808069419
4.15,0.746864798
4,0.694172109
3.85,0.64836598
3.7,0.60808232
3.55,0.572177999
3.4,0.539694486
3.25,0.509826018
3.1,0.481892097
2.95,0.455313698
2.8,0.429592351
2.65,0.404291075
2.5,0.379015992
2.35,0.353397088
2.2,0.327066068
2.05,0.29962812
1.9,0.270622363
1.75,0.239461777
1.6,0.205335351
1.45,0.167038243
1.3,0.122657656
1.15,0.068949926
1,0
1.151515152,0.06955534
1.303030303,0.123632449
1.454545455,0.168276041
1.606060606,0.206785176
1.757575758,0.241098604
1.909090909,0.272434875
2.060606061,0.30161374
2.212121212,0.329229356
2.363636364,0.355749878
2.515151515,0.38157857
2.666666667,0.40709411
2.818181818,0.432679495
2.96969697,0.458744885
3.121212121,0.485747639
3.272727273,0.514211668
3.424242424,0.544747688
3.575757576,0.578075595
3.727272727,0.615050049
3.878787879,0.656690114
4.03030303,0.704213581
4.181818182,0.759076051
4.333333333,0.823013969
4.484848485,0.898089251
4.636363636,0.986730653
4.787878788,1.091763334
4.939393939,1.216412881
5.090909091,1.364263667
5.242424242,1.539144703
5.393939394,1.744911862
5.545454545,1.945531588
5.696969697,2.075117054
5.848484848,2.219065628
