Stretch,Stress_P11
1,0
1.1875,0.164907579
1.375,0.287590398
1.5625,0.386543353
1.75,0.470782684
1.5625,0.377852096
1.375,0.276041734
1.1875,0.156323237
1,0
1.214285714,0.175066787
1.428571429,0.306449071
1.642857143,0.418421415
1.857142857,0.514276259
2.071428571,0.59385556
2.285714286,0.666010245
2.5,0.732773981
2.285714286,0.638785476
2.071428571,0.547920305
1.857142857,0.458262479
1.642857143,0.366792034
1.428571429,0.268371692
1.214285714,0.15324345
1,0
1.225,0.159648298
1.45,0.278748626
1.675,0.380795539
1.9,0.476220874
2.125,0.570434377
2.35,0.666586497
2.575,0.755152085
2.8,0.819964578
3.025,0.882356606
3.25,0.943679505
3.025,0.83446901
2.8,0.734693427
2.575,0.642964382
2.35,0.557694362
2.125,0.477016923
1.9,0.398615249
1.675,0.319333693
1.45,0.234262732
1.225,0.13441433
1,0
1.230769231,0.137282835
1.461538462,0.23888118
1.692307692,0.325559006
1.923076923,0.406633904
2.153846154,0.487178342
2.384615385,0.570463152
2.615384615,0.65890393
2.846153846,0.754456168
3.076923077,0.858786854
3.307692308,0.959400539
3.538461538,1.023022806
3.769230769,1.089151473
4,1.159736992
3.769230769,1.017285531
3.538461538,0.893750915
3.307692308,0.786349644
3.076923077,0.692391367
2.846153846,0.609313186
2.615384615,0.534682032
2.384615385,0.466163268
2.153846154,0.401438358
1.923076923,0.33802765
1.692307692,0.272914091
1.461538462,0.201699902
1.230769231,0.116515402
1,0
1.234375,0.118020935
1.46875,0.204081347
1.703125,0.276059894
1.9375,0.342004943
2.171875,0.406413575
2.40625,0.472389387
2.640625,0.542505604
2.875,0.619187267
3.109375,0.704889383
3.34375,0.802178008
3.578125,0.913758777
3.8125,1.042469419
4.046875,1.1748124
4.28125,1.255014103
4.515625,1.345271863
4.75,1.448610211
4.515625,1.238265611
4.28125,1.065719607
4.046875,0.924572916
3.8125,0.808826391
3.578125,0.713153154
3.34375,0.632973005
3.109375,0.564418091
2.875,0.504246246
2.640625,0.449729718
2.40625,0.398525198
2.171875,0.34851199
1.9375,0.297558923
1.703125,0.243124728
1.46875,0.181446391
1.234375,0.105601529
1,0
1.236842105,0.106514406
1.473684211,0.182857586
1.710526316,0.244929512
1.947368421,0.299754109
2.184210526,0.351148222
2.421052632,0.401702234
2.657894737,0.453606833
2.894736842,0.509060227
3.131578947,0.570506768
3.368421053,0.640803961
3.605263158,0.723357442
3.842105263,0.822236222
4.078947368,0.942259694
4.315789474,1.089023496
4.552631579,1.268799315
4.789473684,1.467537178
5.026315789,1.59188196
5.263157895,1.737647111
5.5,1.909244951
5.263157895,1.565393907
5.026315789,1.298153357
4.789473684,1.092967275
4.552631579,0.935908536
4.315789474,0.815082901
4.078947368,0.720950189
3.842105263,0.646118981
3.605263158,0.584960663
3.368421053,0.5332136
3.131578947,0.487642199
2.894736842,0.445762032
2.657894737,0.40561876
2.421052632,0.36559832
2.184210526,0.324237278
1.947368421,0.279983698
1.710526316,0.230809073
1.473684211,0.173429054
1.236842105,0.101439135
1,0
1.238636364,0.102067313
1.477272727,0.174384918
1.715909091,0.232001613
1.954545455,0.281384758
2.193181818,0.325846071
2.431818182,0.367435551
2.670454545,0.407731259
2.909090909,0.448233139
3.147727273,0.490607329
3.386363636,0.536882158
3.625,0.589646582
3.863636364,0.652283175
4.102272727,0.729258801
4.340909091,0.826484581
4.579545455,0.951729868
4.818181818,1.115013892
5.056818182,1.328779207
5.295454545,1.607457974
5.534090909,1.936352058
5.772727273,2.145205064
6.011363636,2.391530362
6.25,2.681399389
6.011363636,2.083326588
5.772727273,1.644608701
5.534090909,1.33099116
5.295454545,1.108108613
5.056818182,0.948227911
4.818181818,0.831220789
4.579545455,0.743221628
4.340909091,0.674864815
4.102272727,0.61981126
3.863636364,0.573698125
3.625,0.533444045
3.386363636,0.496804351
3.147727273,0.462086989
2.909090909,0.427964939
2.670454545,0.393340688
2.431818182,0.35722925
2.193181818,0.318626815
1.954545455,0.276316998
1.715909091,0.228517556
1.477272727,0.17212703
1.238636364,0.100875958
1,0
1.24,0.101346235
1.48,0.172838644
1.72,0.229397575
1.96,0.277336927
2.2,0.319774529
2.44,0.358502548
2.68,0.394747793
2.92,0.429528009
3.16,0.463847749
3.4,0.498832176
3.64,0.535847687
3.88,0.576643402
4.12,0.623548781
4.36,0.679774648
4.6,0.74988606
4.84,0.840541768
5.08,0.961609752
5.32,1.127720078
5.56,1.360080859
5.8,1.687730011
6.04,2.146090684
6.28,2.721246775
6.52,3.070219779
6.76,3.478191731
7,3.953150704
