Stretch,Stress_P11
1,0
1.1,0.094954573
1.2,0.174115709
1.3,0.242097551
1.4,0.301895414
1.5,0.355522287
1.4,0.299106336
1.3,0.238009568
1.2,0.170155965
1.1,0.092434308
1,0
1.142857143,0.127211499
1.285714286,0.228788876
1.428571429,0.315630556
1.571428571,0.390838742
1.714285714,0.455609881
1.857142857,0.514276259
2,0.568279251
1.857142857,0.50324063
1.714285714,0.437094725
1.571428571,0.36844005
1.428571429,0.295150484
1.285714286,0.21385179
1.142857143,0.118875097
1,0
1.15,0.124079356
1.3,0.222478319
1.45,0.306552955
1.6,0.382460106
1.75,0.453802001
1.9,0.522818122
2.05,0.586272473
2.2,0.637892407
2.35,0.686530663
2.5,0.732773981
2.35,0.666586497
2.2,0.602153962
2.05,0.538939275
1.9,0.476220874
1.75,0.413006961
1.6,0.347885334
1.45,0.278748626
1.3,0.202265697
1.15,0.112798894
1,0
1.166666667,0.123642282
1.333333333,0.22013493
1.5,0.302412287
1.666666667,0.377178077
1.833333333,0.448258899
2,0.518020332
2.166666667,0.588023071
2.333333333,0.659349191
2.5,0.732773981
2.666666667,0.781935872
2.833333333,0.829328151
3,0.875501964
2.833333333,0.79781294
2.666666667,0.724379255
2.5,0.65469693
2.333333333,0.588170343
2.166666667,0.524084893
2,0.461561139
1.833333333,0.399472845
1.666666667,0.336295274
1.5,0.269814288
1.333333333,0.196540863
1.166666667,0.110449907
1,0
1.166666667,0.110449907
1.333333333,0.196540863
1.5,0.269814288
1.666666667,0.336295274
1.833333333,0.399472845
2,0.461561139
2.166666667,0.524084893
2.333333333,0.588170343
2.5,0.65469693
2.666666667,0.724379255
2.833333333,0.79781294
3,0.875501964
3.166666667,0.921004413
3.333333333,0.966401416
3.5,1.012294281
3.333333333,0.92473679
3.166666667,0.843844001
3,0.768972974
2.833333333,0.699456434
2.666666667,0.634599692
2.5,0.573674806
2.333333333,0.515909131
2.166666667,0.460463412
2,0.406391041
1.833333333,0.35256335
1.666666667,0.297531684
1.5,0.239265544
1.333333333,0.174630659
1.166666667,0.098273343
1,0
1.176470588,0.103236621
1.352941176,0.182710125
1.529411765,0.249901116
1.705882353,0.310683114
1.882352941,0.368446996
2.058823529,0.425384312
2.235294118,0.483070637
2.411764706,0.542750823
2.588235294,0.605485326
2.764705882,0.672227026
2.941176471,0.743861464
3.117647059,0.821227409
3.294117647,0.905127039
3.470588235,0.996330987
3.647058824,1.053716458
3.823529412,1.105281537
4,1.159736992
3.823529412,1.048997429
3.647058824,0.949706735
3.470588235,0.860610253
3.294117647,0.780476239
3.117647059,0.708110366
2.941176471,0.642362939
2.764705882,0.582130013
2.588235294,0.526348272
2.411764706,0.473982017
2.235294118,0.423998294
2.058823529,0.375322653
1.882352941,0.326761138
1.705882353,0.276859777
1.529411765,0.223640369
1.352941176,0.164071925
1.176470588,0.092923682
1,0
1.175,0.09225895
1.35,0.163000215
1.525,0.222244436
1.7,0.275152394
1.875,0.324720108
2.05,0.372902592
2.225,0.421133765
2.4,0.470587183
2.575,0.522315103
2.75,0.577325941
2.925,0.636628385
3.1,0.70125636
3.275,0.772282318
3.45,0.850822753
3.625,0.938037734
3.8,1.035124682
3.975,1.143305394
4.15,1.209041677
4.325,1.271012844
4.5,1.338883094
4.325,1.199142927
4.15,1.076953643
3.975,0.970240632
3.8,0.876984316
3.625,0.795277542
3.45,0.723356079
3.275,0.659610167
3.1,0.602583514
2.925,0.550964062
2.75,0.503568907
2.575,0.459323989
2.4,0.417237398
2.225,0.376363021
2.05,0.33574791
1.875,0.294350524
1.7,0.250904036
1.525,0.203669979
1.35,0.149957347
1.175,0.085096216
1,0
1.181818182,0.087921233
1.363636364,0.154464702
1.545454545,0.209461058
1.727272727,0.25787211
1.909090909,0.30253141
2.090909091,0.345271632
2.272727273,0.387443984
2.454545455,0.430181322
2.636363636,0.474543262
2.818181818,0.521602948
3,0.572503195
3.181818182,0.628495597
3.363636364,0.690969415
3.545454545,0.761473292
3.727272727,0.841730248
3.909090909,0.933644064
4.090909091,1.0392926
4.272727273,1.16090088
4.454545455,1.30078425
4.636363636,1.396668148
4.818181818,1.481605011
5,1.577084486
4.818181818,1.382906623
4.636363636,1.218379219
4.454545455,1.079605437
4.272727273,0.962745132
4.090909091,0.864221453
3.909090909,0.780823241
3.727272727,0.709737098
3.545454545,0.648537094
3.363636364,0.595151988
3.181818182,0.547822577
3,0.505056183
2.818181818,0.465581356
2.636363636,0.428303153
2.454545455,0.392257193
2.272727273,0.356558516
2.090909091,0.320337913
1.909090909,0.28265215
1.727272727,0.242341338
1.545454545,0.197776737
1.363636364,0.146368815
1.181818182,0.083507063
1,0
1.18,0.08279561
1.36,0.145244369
1.54,0.196350622
1.72,0.240653631
1.9,0.280710039
2.08,0.318128233
2.26,0.354050346
2.44,0.389399941
2.62,0.425022123
2.8,0.461771467
2.98,0.50057401
3.16,0.542476619
3.34,0.58869097
3.52,0.640636079
3.7,0.699981287
3.88,0.768689622
4.06,0.849059097
4.24,0.943756006
4.42,1.05582942
4.6,1.188689548
4.78,1.346025185
4.96,1.531629298
5.14,1.658914778
5.32,1.776298808
5.5,1.909244951
5.32,1.640403816
5.14,1.417776479
4.96,1.235074104
4.78,1.08584763
4.6,0.96407506
4.42,0.864446775
4.24,0.782449975
4.06,0.714338082
3.88,0.657045184
3.7,0.60808232
3.52,0.565435429
3.34,0.527473935
3.16,0.492872595
2.98,0.460545865
2.8,0.429592351
2.62,0.399246019
2.44,0.368830085
2.26,0.337708212
2.08,0.305225031
1.9,0.270622363
1.72,0.232905218
1.54,0.190603545
1.36,0.141306976
1.18,0.080665942
1,0
1.185185185,0.082635205
1.37037037,0.144399998
1.555555556,0.194491637
1.740740741,0.237451034
1.925925926,0.27577115
2.111111111,0.310967633
2.296296296,0.344071409
2.481481481,0.375879147
2.666666667,0.40709411
2.851851852,0.438415092
3.037037037,0.470601002
3.222222222,0.504525616
3.407407407,0.541231157
3.592592593,0.58198669
3.777777778,0.628355976
3.962962963,0.682278505
4.148148148,0.746166014
4.333333333,0.823013969
4.518518519,0.916521829
4.703703704,1.031205556
4.888888889,1.172468629
5.074074074,1.346572246
5.259259259,1.560413524
5.444444444,1.820993209
5.62962963,2.015835558
5.814814815,2.185761027
6,2.378863346
5.814814815,1.982284859
5.62962963,1.664134678
5.444444444,1.412896106
5.259259259,1.216085194
5.074074074,1.062142546
4.888888889,0.941259308
4.703703704,0.845535984
4.518518519,0.768806364
4.333333333,0.706339118
4.148148148,0.654529942
3.962962963,0.610632977
3.777777778,0.572545178
3.592592593,0.538641005
3.407407407,0.507648708
3.222222222,0.478558457
3.037037037,0.450553463
2.851851852,0.422956666
2.666666667,0.3951867
2.481481481,0.366717363
2.296296296,0.33703428
2.111111111,0.305580131
1.925925926,0.271674209
1.740740741,0.234379225
1.555555556,0.192258532
1.37037037,0.142893109
1.185185185,0.081827367
1,0
1.183333333,0.081133109
1.366666667,0.141806507
1.55,0.190898723
1.733333333,0.232799061
1.916666667,0.269899329
2.1,0.303622672
2.283333333,0.334897118
2.466666667,0.364394323
2.65,0.392660696
2.833333333,0.420196443
3.016666667,0.447509034
3.2,0.475155011
3.383333333,0.503778484
3.566666667,0.53415232
3.75,0.567227413
3.933333333,0.604195769
4.116666667,0.646574184
4.3,0.696316558
4.483333333,0.755963911
4.666666667,0.828840609
4.85,0.919300832
5.033333333,1.033016473
5.216666667,1.177269391
5.4,1.361157913
5.583333333,1.595542223
5.766666667,1.892443266
5.95,2.263525967
6.133333333,2.533842029
6.316666667,2.771044775
6.5,3.038991025
6.316666667,2.463589719
6.133333333,2.014166495
5.95,1.671727143
5.766666667,1.41370958
5.583333333,1.219285269
5.4,1.071495857
5.216666667,0.957486921
5.033333333,0.867902726
4.85,0.796068885
4.666666667,0.73724732
4.483333333,0.688052324
4.3,0.646027397
4.116666667,0.609351935
3.933333333,0.576642953
3.75,0.546822559
3.566666667,0.519029369
3.383333333,0.492558563
3.2,0.466820078
3.016666667,0.441307818
2.833333333,0.415574772
2.65,0.389210011
2.466666667,0.361813685
2.283333333,0.332965212
2.1,0.302177243
1.916666667,0.268822202
1.733333333,0.232005465
1.55,0.19033019
1.366666667,0.141427285
1.183333333,0.080931473
1,0
1.1875,0.08248663
1.375,0.143857607
1.5625,0.193366838
1.75,0.23552716
1.9375,0.272766886
2.125,0.306510711
2.3125,0.337670681
2.5,0.366889954
2.6875,0.394673595
2.875,0.421464269
3.0625,0.447689914
3.25,0.473797201
3.4375,0.50027859
3.625,0.527698254
3.8125,0.556721351
4,0.588151627
4.1875,0.622983935
4.375,0.662481147
4.5625,0.708289537
4.75,0.762613208
4.9375,0.828476555
5.125,0.910112284
5.3125,1.013515757
5.5,1.147190215
5.6875,1.323042782
5.875,1.557227558
6.0625,1.870408432
6.25,2.286422873
6.4375,2.827895143
6.625,3.240991098
6.8125,3.576075779
7,3.953150704
