Stretch,Stress_P11
1,0
1.125,0.116009193
1.25,0.209288123
1.375,0.287590398
1.5,0.355522287
1.375,0.284338774
1.25,0.205091392
1.125,0.113015852
1,0
1.166666667,0.145539673
1.333333333,0.259006764
1.5,0.355522287
1.666666667,0.434786581
1.833333333,0.504854604
2,0.568279251
1.833333333,0.492324441
1.666666667,0.414575046
1.5,0.332547578
1.333333333,0.242126826
1.166666667,0.136006563
1,0
1.1875,0.150514441
1.375,0.265840866
1.5625,0.364022516
1.75,0.453802001
1.9375,0.539891852
2.125,0.6124974
2.3125,0.674616404
2.5,0.732773981
2.3125,0.650332233
2.125,0.570434377
1.9375,0.491902464
1.75,0.413006961
1.5625,0.331081134
1.375,0.241704982
1.1875,0.136832109
1,0
1.2,0.144564024
1.4,0.25428648
1.6,0.347885334
1.8,0.434209557
2,0.518020332
2.2,0.602153962
2.4,0.688431679
2.6,0.762515141
2.8,0.819964578
3,0.875501964
2.8,0.782800748
2.6,0.696087227
2.4,0.614444942
2.2,0.536746017
2,0.461561139
1.8,0.386982865
1.6,0.310257034
1.4,0.226971551
1.2,0.129127974
1,0
1.208333333,0.133664873
1.416666667,0.23432138
1.625,0.320092851
1.833333333,0.399472845
2.041666667,0.477101953
2.25,0.555872852
2.458333333,0.637795047
2.666666667,0.724379255
2.875,0.8168183
3.083333333,0.898302399
3.291666667,0.955029901
3.5,1.012294281
3.291666667,0.903913496
3.083333333,0.805696874
2.875,0.716371068
2.666666667,0.634599692
2.458333333,0.558968627
2.25,0.487952265
2.041666667,0.419838001
1.833333333,0.35256335
1.625,0.283366289
1.416666667,0.208007043
1.208333333,0.118895775
1,0
1.214285714,0.121745849
1.428571429,0.212587503
1.642857143,0.289463758
1.857142857,0.360288245
2.071428571,0.429463749
2.285714286,0.499869681
2.5,0.573674806
2.714285714,0.652696436
2.928571429,0.738564352
3.142857143,0.83279475
3.357142857,0.936822253
3.571428571,1.032273382
3.785714286,1.094020894
4,1.159736992
3.785714286,1.026799976
3.571428571,0.910346804
3.357142857,0.808142664
3.142857143,0.718016825
2.928571429,0.637890514
2.714285714,0.565783823
2.5,0.499802435
2.285714286,0.438097494
2.071428571,0.378780506
1.857142857,0.3197532
1.642857143,0.258361062
1.428571429,0.190642994
1.214285714,0.109540462
1,0
1.21875,0.11144478
1.4375,0.193666147
1.65625,0.262332139
1.875,0.324720108
2.09375,0.384906894
2.3125,0.445640203
2.53125,0.50911449
2.75,0.577325941
2.96875,0.652244941
3.1875,0.735900864
3.40625,0.830420428
3.625,0.938037734
3.84375,1.061081824
4.0625,1.179901856
4.28125,1.255014103
4.5,1.338883094
4.28125,1.167031459
4.0625,1.021790941
3.84375,0.899143414
3.625,0.795277542
3.40625,0.706712604
3.1875,0.630342166
2.96875,0.563428726
2.75,0.503568907
2.53125,0.448637405
2.3125,0.39670731
2.09375,0.345931807
1.875,0.294350524
